date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:44:52	21477/21477	---M-Z	200	added ('OK')	text/html	etag:W/%22632ca496-53e5%22	https://gdscgescoengg.live/faq.html	C:/Users/arda.e/Desktop/zzz/gdsc/gdscgescoengg.live/faq.html	(from https://gdscgescoengg.live/)
17:44:52	25758/25758	---M-Z	200	added ('OK')	text/html	etag:W/%22632ca496-649e%22	https://gdscgescoengg.live/contact.html	C:/Users/arda.e/Desktop/zzz/gdsc/gdscgescoengg.live/contact.html	(from https://gdscgescoengg.live/)
17:44:52	27029/27029	---M--	200	added ('OK')	image/jpeg	etag:%22632ca496-6995%22	https://gdscgescoengg.live/assets/images/resources/slide-bg1.jpg	C:/Users/arda.e/Desktop/zzz/gdsc/gdscgescoengg.live/assets/images/resources/slide-bg1.jpg	(from https://gdscgescoengg.live/)
17:44:53	3747/3747	---M--	200	added ('OK')	image/png	etag:%22632ca496-ea3%22	https://gdscgescoengg.live/assets/images/slide1-shp1.png	C:/Users/arda.e/Desktop/zzz/gdsc/gdscgescoengg.live/assets/images/slide1-shp1.png	(from https://gdscgescoengg.live/)
17:44:53	2608/2608	---M--	200	added ('OK')	image/png	etag:%22632ca496-a30%22	https://gdscgescoengg.live/assets/images/slide1-shp2.png	C:/Users/arda.e/Desktop/zzz/gdsc/gdscgescoengg.live/assets/images/slide1-shp2.png	(from https://gdscgescoengg.live/)
17:44:53	2494/2494	---M--	200	added ('OK')	image/png	etag:%22632ca496-9be%22	https://gdscgescoengg.live/assets/images/slide1-shp3.png	C:/Users/arda.e/Desktop/zzz/gdsc/gdscgescoengg.live/assets/images/slide1-shp3.png	(from https://gdscgescoengg.live/)
17:44:53	7635/7635	---M--	200	added ('OK')	image/png	etag:%22632ca496-1dd3%22	https://gdscgescoengg.live/assets/images/slide1-mckp1.png	C:/Users/arda.e/Desktop/zzz/gdsc/gdscgescoengg.live/assets/images/slide1-mckp1.png	(from https://gdscgescoengg.live/)
17:44:54	14236/14236	---M--	200	added ('OK')	image/png	etag:%22632ca496-379c%22	https://gdscgescoengg.live/assets/images/slide1-mckp2.png	C:/Users/arda.e/Desktop/zzz/gdsc/gdscgescoengg.live/assets/images/slide1-mckp2.png	(from https://gdscgescoengg.live/)
17:44:54	3572/3572	---M--	200	added ('OK')	image/png	etag:%22632ca496-df4%22	https://gdscgescoengg.live/assets/images/slide1-mckp3.png	C:/Users/arda.e/Desktop/zzz/gdsc/gdscgescoengg.live/assets/images/slide1-mckp3.png	(from https://gdscgescoengg.live/)
17:44:54	6455/6455	---M--	200	added ('OK')	image/png	etag:%22632ca496-1937%22	https://gdscgescoengg.live/assets/images/slide1-mckp4.png	C:/Users/arda.e/Desktop/zzz/gdsc/gdscgescoengg.live/assets/images/slide1-mckp4.png	(from https://gdscgescoengg.live/)
17:44:54	6497/6497	---M--	200	added ('OK')	image/png	etag:%22632ca496-1961%22	https://gdscgescoengg.live/assets/images/slide1-mckp5.png	C:/Users/arda.e/Desktop/zzz/gdsc/gdscgescoengg.live/assets/images/slide1-mckp5.png	(from https://gdscgescoengg.live/)
17:44:54	18332/18332	---M--	200	added ('OK')	image/png	etag:%22632ca496-479c%22	https://gdscgescoengg.live/assets/images/slide1-mckp6.png	C:/Users/arda.e/Desktop/zzz/gdsc/gdscgescoengg.live/assets/images/slide1-mckp6.png	(from https://gdscgescoengg.live/)
17:44:55	34989/34989	---M--	200	added ('OK')	image/jpeg	etag:%22632ca496-88ad%22	https://gdscgescoengg.live/assets/images/resources/slide-bg2.jpg	C:/Users/arda.e/Desktop/zzz/gdsc/gdscgescoengg.live/assets/images/resources/slide-bg2.jpg	(from https://gdscgescoengg.live/)
17:44:55	28416/28416	---M--	200	added ('OK')	image/png	etag:%22632ca496-6f00%22	https://gdscgescoengg.live/assets/images/slide2-shp1.png	C:/Users/arda.e/Desktop/zzz/gdsc/gdscgescoengg.live/assets/images/slide2-shp1.png	(from https://gdscgescoengg.live/)
17:44:55	4924/4924	---M--	200	added ('OK')	image/png	etag:%22632ca496-133c%22	https://gdscgescoengg.live/assets/images/slide2-shp2.png	C:/Users/arda.e/Desktop/zzz/gdsc/gdscgescoengg.live/assets/images/slide2-shp2.png	(from https://gdscgescoengg.live/)
17:44:55	4214/4214	---M--	200	added ('OK')	image/png	etag:%22632ca496-1076%22	https://gdscgescoengg.live/assets/images/slide2-mckp1.png	C:/Users/arda.e/Desktop/zzz/gdsc/gdscgescoengg.live/assets/images/slide2-mckp1.png	(from https://gdscgescoengg.live/)
